Index,Seed,Level,Model,Command,DurationSeconds
332,8,full-divider_tomato,dc,"python main.py --num-agents 2 --seed 8 --level full-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",13.0
335,8,full-divider_tomato,greedy,"python main.py --num-agents 2 --seed 8 --level full-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",12.3
309,7,partial-divider_tl,up,"python main.py --num-agents 2 --seed 7 --level partial-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",365.9
323,8,partial-divider_salad,fb,"python main.py --num-agents 2 --seed 8 --level partial-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",174.7
321,8,partial-divider_salad,bd,"python main.py --num-agents 2 --seed 8 --level partial-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",233.8
331,8,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 8 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",91.7
333,8,full-divider_tomato,fb,"python main.py --num-agents 2 --seed 8 --level full-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",90.8
334,8,full-divider_tomato,up,"python main.py --num-agents 2 --seed 8 --level full-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",96.9
336,8,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 8 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",109.3
340,8,partial-divider_tomato,greedy,"python main.py --num-agents 2 --seed 8 --level partial-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",56.2
342,8,open-divider_tomato,dc,"python main.py --num-agents 2 --seed 8 --level open-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",74.0
339,8,partial-divider_tomato,up,"python main.py --num-agents 2 --seed 8 --level partial-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",96.4
328,8,open-divider_salad,fb,"python main.py --num-agents 2 --seed 8 --level open-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",222.3
338,8,partial-divider_tomato,fb,"python main.py --num-agents 2 --seed 8 --level partial-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",116.3
345,8,open-divider_tomato,greedy,"python main.py --num-agents 2 --seed 8 --level open-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",16.8
347,8,full-divider_tl,dc,"python main.py --num-agents 2 --seed 8 --level full-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",36.7
326,8,open-divider_salad,bd,"python main.py --num-agents 2 --seed 8 --level open-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",276.6
343,8,open-divider_tomato,fb,"python main.py --num-agents 2 --seed 8 --level open-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",111.9
346,8,full-divider_tl,bd,"python main.py --num-agents 2 --seed 8 --level full-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",106.7
350,8,full-divider_tl,greedy,"python main.py --num-agents 2 --seed 8 --level full-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",70.2
344,8,open-divider_tomato,up,"python main.py --num-agents 2 --seed 8 --level open-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",147.4
348,8,full-divider_tl,fb,"python main.py --num-agents 2 --seed 8 --level full-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",113.5
341,8,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 8 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",212.1
349,8,full-divider_tl,up,"python main.py --num-agents 2 --seed 8 --level full-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",115.5
324,8,partial-divider_salad,up,"python main.py --num-agents 2 --seed 8 --level partial-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",411.2
352,8,partial-divider_tl,dc,"python main.py --num-agents 2 --seed 8 --level partial-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",84.5
355,8,partial-divider_tl,greedy,"python main.py --num-agents 2 --seed 8 --level partial-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",48.4
357,8,open-divider_tl,dc,"python main.py --num-agents 2 --seed 8 --level open-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",35.7
360,8,open-divider_tl,greedy,"python main.py --num-agents 2 --seed 8 --level open-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",11.7
359,8,open-divider_tl,up,"python main.py --num-agents 2 --seed 8 --level open-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",30.1
362,9,full-divider_salad,dc,"python main.py --num-agents 2 --seed 9 --level full-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",9.9
365,9,full-divider_salad,greedy,"python main.py --num-agents 2 --seed 9 --level full-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",39.1
337,8,partial-divider_tomato,dc,"python main.py --num-agents 2 --seed 8 --level partial-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",365.2
363,9,full-divider_salad,fb,"python main.py --num-agents 2 --seed 9 --level full-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",96.3
364,9,full-divider_salad,up,"python main.py --num-agents 2 --seed 9 --level full-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",95.2
367,9,partial-divider_salad,dc,"python main.py --num-agents 2 --seed 9 --level partial-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",76.4
369,9,partial-divider_salad,up,"python main.py --num-agents 2 --seed 9 --level partial-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",31.7
353,8,partial-divider_tl,fb,"python main.py --num-agents 2 --seed 8 --level partial-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",197.4
361,9,full-divider_salad,bd,"python main.py --num-agents 2 --seed 9 --level full-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",148.3
351,8,partial-divider_tl,bd,"python main.py --num-agents 2 --seed 8 --level partial-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",261.3
370,9,partial-divider_salad,greedy,"python main.py --num-agents 2 --seed 9 --level partial-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",20.9
374,9,open-divider_salad,up,"python main.py --num-agents 2 --seed 9 --level open-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",10.0
